X,Y,OBJECTID,NAME_OF_DISTRICT_COUNCIL_DISTRI,LOCATION_EN,ADDRESS_EN,NAME_OF_DISTRICT_COUNCIL_DIST_1,LOCATION_TC,ADDRESS_TC,NAME_OF_DISTRICT_COUNCIL_DIST_2,LOCATION_SC,ADDRESS_SC,STANDARD_BS1363_no,MEDIUM_IEC62196_no,MEDIUM_SAEJ1772_no,MEDIUM_OTHERS_no,QUICK_CHAdeMO_no,QUICK_CCS_DC_COMBO_no,QUICK_IEC62196_no,QUICK_GB_T20234_3_DC__no,QUICK_OTHERS_no,REMARK_FOR__OTHERS_,DATA_PATH
12713766.5382085,2551663.69936411,204,Kwun Tong,Choi Hung Park-and-Ride Public Car Park,"CLEAR WATER BAY ROAD, KWUN TONG",觀塘區,彩虹泊車轉乘公眾停車場,觀塘 清水灣道,观塘区,彩虹泊车换乘公众停车场,观塘 清水湾道,0,0,0,0,0,0,5,0,0,-,-
12714851.6806047,2549178.46968183,205,Kwun Tong,Infotech Centre,"18, Hung To Rd, Kwun Tong",觀塘區,訊科中心,觀塘鴻圖道18號,观塘区,讯科中心,观塘鸿图道18号,1,0,0,0,0,0,0,0,0,-,-
12714939.4003635,2549087.38046159,206,Kwun Tong,Billion Trade Centre,"31 Hung To Rd, Kwun Tong",觀塘區,鴻貿中心,觀塘鴻圖道31號,观塘区,鸿贸中心,观塘鸿图道31号,1,0,0,0,0,0,0,0,0,-,-
12713789.2473846,2550385.29806379,207,Kwun Tong,Hoplite Industrial Centre,"2, 3 Wang Tai Rd, Kowloon Bay",觀塘區,合力工業中心,九龍灣宏泰道2-3號,观塘区,合力工业中心,九龙湾宏泰道2-3号,1,0,0,0,0,0,0,0,0,-,-
12715423.8627874,2548949.60444211,208,Kwun Tong,Entreport Centre,"HOW MING STREET, KWUN TONG",觀塘區,港貿中心,觀塘 巧明街,观塘区,港贸中心,观塘 巧明街,1,0,0,0,0,0,0,0,0,-,-
12716604.9625847,2550059.54573325,209,Kwun Tong,On Tat Estate Car park,"3, On Chui Street, Kwun Tong",觀塘區,安達邨停車場,觀塘安翠街3號,观塘区,安达邨停车场,观塘安翠街3号,2,3,0,0,0,0,0,0,0,-,-
12714312.7829498,2549475.2049659,210,Kwun Tong,One Bay East,"B2/F, 83 Hoi Bun Road, Kwun Tong, KLN",觀塘區,One Bay East,九龍觀塘海濱道 83 號地庫二樓,观塘区,One Bay East,九龙观塘海滨道 83 号地库二楼,0,10,0,0,0,0,0,0,0,-,-
12713811.1773243,2550102.86669847,211,Kwun Tong,One Kowloon,"WANG YUEN STREET, KWUN TONG",觀塘區,一號九龍,觀塘 宏遠街,观塘区,一号九龙,观塘 宏远街,0,0,0,6,0,0,6,0,0,Tesla Wall Connector,-
12713406.9762532,2550679.88854593,212,Kwun Tong,The Bay Hub,"Goldin Financial Global Centre, 17 Kai Cheung Road, Kowloon Bay, KLN",觀塘區,太豐匯,九龍九龍灣啟祥道17號高銀金融國際中心,观塘区,太丰汇,九龙九龙湾启祥道17号高银金融国际中心,157,2,0,0,0,0,0,0,4,Tesla Wall Connector,-
12715478.9659353,2549050.6801888,213,Kwun Tong,apm,KWUN TONG ROAD,觀塘區,apm,觀塘道,观塘区,apm,观塘道,2,0,0,0,0,0,2,0,0,-,-
12715269.1286952,2548545.30753598,214,Kwun Tong,Manulife Financial Centre,"223 Wai Yip Street, Kwun Tong",觀塘區,宏利金融中心,觀塘偉業街223號,观塘区,宏利金融中心,观塘伟业街223号,0,3,0,0,0,0,0,0,0,-,-
12717006.937266,2546703.11223634,215,Kwun Tong,No.1 Lei Yue Mun Path Public Carpark ,"No.1 Lei Yue Mun Path, Yau Tong, Kowloon",觀塘區,鯉魚門徑1號公眾停車場,九龍油塘鯉魚門徑1號,观塘区,鲤鱼门径1号公众停车场,九龙油塘鲤鱼门径1号,0,0,0,1,0,0,0,0,0,Tesla Wall Connector,-
12713805.7226692,2550164.71960361,216,Kwun Tong,FtLife Tower,"SHEUNG YUET ROAD, KWUN TONG",觀塘區,富通中心,觀塘 常悅道,观塘区,富通中心,观塘 常悦道,0,0,0,42,0,0,0,0,18,Tesla Supercharger,-
12715869.0294311,2550834.40620844,217,Kwun Tong,On Tai Estate Carpark,"G/F., Hang Tai House, On Tai Estate, Kwun Tong",觀塘區,安泰邨停車場,觀塘安泰邨恒泰樓地下,观塘区,安泰邨停车场,观塘安泰邨恒泰楼地下,27,0,0,0,0,0,0,0,0,-,-
